期号,开奖日期,红球,蓝球,总销售额（元）,1注数,1中奖金额（元）,2注数,2中奖金额（元）,3注数,3中奖金额（元),奖池（元),详情
2020120,2020-11-29(日),010203040910,12,470788664,28,5529239,535,34623,7705,3000,738529199,http://www.cwl.gov.cn//c/2020-11-29/477698.shtml
2020119,2020-11-26(四),010922283233,15,432978556,12,6880004,117,241026,1983,3000,837777744,http://www.cwl.gov.cn//c/2020-11-26/477579.shtml
2020118,2020-11-24(二),111319263033,05,419968358,4,10000000,114,262410,1211,3000,835737606,http://www.cwl.gov.cn//c/2020-11-24/477464.shtml
2020117,2020-11-22(日),070809101627,07,460145954,19,5762819,225,80519,3796,3000,785993086,http://www.cwl.gov.cn//c/2020-11-22/477351.shtml
2020116,2020-11-19(四),050614161927,10,434234564,9,6979667,172,129484,2843,3000,841135768,http://www.cwl.gov.cn//c/2020-11-19/477332.shtml
2020115,2020-11-17(二),010412202532,02,435736254,2,10000000,114,291499,1070,3000,837138988,http://www.cwl.gov.cn//c/2020-11-17/477218.shtml
2020114,2020-11-15(日),010511243032,03,476450128,16,6478657,171,172942,2120,3000,757446327,http://www.cwl.gov.cn//c/2020-11-15/477104.shtml
2020113,2020-11-12(四),010307102232,11,436471868,7,5279749,114,21472,2770,3000,772385388,http://www.cwl.gov.cn//c/2020-11-12/477085.shtml
2020112,2020-11-10(二),020912172832,05,426910448,14,6657801,263,110309,1611,3000,802000209,http://www.cwl.gov.cn//c/2020-11-10/476971.shtml
2020111,2020-11-08(日),060917222426,16,459469274,3,10000000,106,365368,947,3000,808174858,http://www.cwl.gov.cn//c/2020-11-08/476857.shtml
2020110,2020-11-05(四),020609142225,04,365150166,9,6744907,102,192453,2128,3000,721987721,http://www.cwl.gov.cn//c/2020-11-05/476638.shtml
2020109,2020-11-03(二),061316202332,13,358593188,23,5708816,133,153221,1649,3000,723801259,http://www.cwl.gov.cn//c/2020-11-03/476524.shtml
2020108,2020-11-01(日),101215172332,05,398129794,18,5973588,123,178095,1781,3000,793968638,http://www.cwl.gov.cn//c/2020-11-01/476410.shtml
2020107,2020-10-29(四),030911242528,16,372099740,5,9250245,185,143589,1335,3000,835776030,http://www.cwl.gov.cn//c/2020-10-29/476291.shtml
2020106,2020-10-27(二),020411151828,10,362151946,14,5906931,123,129034,2500,3000,802335158,http://www.cwl.gov.cn//c/2020-10-27/476178.shtml
2020105,2020-10-25(日),061419202224,01,399513718,6,8700739,117,237226,1395,3000,837418291,http://www.cwl.gov.cn//c/2020-10-25/475969.shtml
2020104,2020-10-22(四),040810162729,09,371069028,9,6582593,102,174550,2007,3000,806356097,http://www.cwl.gov.cn//c/2020-10-22/475956.shtml
2020103,2020-10-20(二),040910222832,08,363566614,13,6122197,136,134086,2037,3000,812186919,http://www.cwl.gov.cn//c/2020-10-20/475640.shtml
2020102,2020-10-18(日),091019252629,08,385810668,73,5028416,472,6000,7605,3000,837068374,http://www.cwl.gov.cn//c/2020-10-18/475425.shtml
2020101,2020-10-15(四),101724252830,15,360073112,7,8298609,109,264796,884,3000,1196363693,http://www.cwl.gov.cn//c/2020-10-15/475312.shtml
2020100,2020-10-13(二),010715162023,07,352785364,9,6279386,119,120950,2231,3000,1167865459,http://www.cwl.gov.cn//c/2020-10-13/475202.shtml
2020099,2020-10-11(日),050611121530,12,390640850,7,7301898,258,78068,2455,3000,1181200651,http://www.cwl.gov.cn//c/2020-10-11/475092.shtml
2020098,2020-10-08(四),060811222533,02,347585130,7,8077008,172,156533,1043,3000,1171889114,http://www.cwl.gov.cn//c/2020-10-08/474979.shtml
2020097,2020-10-06(二),020821252630,10,352372566,22,5489356,418,32194,3847,3000,1147656700,http://www.cwl.gov.cn//c/2020-10-06/474969.shtml
2020096,2020-09-29(二),012023262732,15,356787262,8,8190972,57,559819,673,3000,1228050661,http://www.cwl.gov.cn//c/2020-09-29/474854.shtml
2020095,2020-09-27(日),030916172026,02,387062108,6,7745143,283,72751,2753,3000,1197849256,http://www.cwl.gov.cn//c/2020-09-27/474743.shtml
2020094,2020-09-24(四),101517272931,08,357043412,2,10000000,57,248955,1405,3000,1182554395,http://www.cwl.gov.cn//c/2020-09-24/474631.shtml
2020093,2020-09-22(二),040510131519,15,364874692,4,10000000,110,261408,1074,3000,1159982996,http://www.cwl.gov.cn//c/2020-09-22/474521.shtml
2020092,2020-09-20(日),010612182224,03,394714558,6,8324368,160,155829,2002,3000,1113718036,http://www.cwl.gov.cn//c/2020-09-20/474411.shtml
2020091,2020-09-17(四),010911121619,16,362307424,11,6771891,120,203029,1541,3000,1088865952,http://www.cwl.gov.cn//c/2020-09-17/474398.shtml
2020090,2020-09-15(二),022123263132,06,357200726,6,8569539,43,622594,773,3000,1090266240,http://www.cwl.gov.cn//c/2020-09-15/474088.shtml
2020089,2020-09-13(日),021416212930,10,388734662,11,7200974,113,267817,1002,3000,1061368833,http://www.cwl.gov.cn//c/2020-09-13/473978.shtml
2020088,2020-09-10(四),010612262930,12,359763320,14,6377823,175,137782,1777,3000,1049789346,http://www.cwl.gov.cn//c/2020-09-10/473965.shtml
2020087,2020-09-08(二),111520232533,10,351393474,5,7940558,44,417692,1430,3000,1066743130,http://www.cwl.gov.cn//c/2020-09-08/473855.shtml
2020086,2020-09-06(日),020406152427,06,383150704,7,7452652,117,183424,1870,3000,1051310454,http://www.cwl.gov.cn//c/2020-09-06/473745.shtml
2020085,2020-09-03(四),010205091924,16,349243256,3,10000000,135,175949,1659,3000,1039096893,http://www.cwl.gov.cn//c/2020-09-03/473632.shtml
2020084,2020-09-01(二),030716172330,07,340223360,15,5641465,265,45386,3166,3000,997837500,http://www.cwl.gov.cn//c/2020-09-01/473522.shtml
2020083,2020-08-30(日),011925263031,12,375628538,7,7916189,96,265798,1266,3000,1046377044,http://www.cwl.gov.cn//c/2020-08-30/473412.shtml
2020082,2020-08-27(四),020811172130,09,339738944,22,5094481,320,8119,4865,3000,1025240399,http://www.cwl.gov.cn//c/2020-08-27/473399.shtml
2020081,2020-08-25(二),010513142733,15,341884184,11,7057769,108,261984,771,3000,1129524256,http://www.cwl.gov.cn//c/2020-08-25/473289.shtml
2020080,2020-08-23(日),141518223133,01,375199530,2,10000000,70,397581,1011,3000,1122276717,http://www.cwl.gov.cn//c/2020-08-23/472979.shtml
2020079,2020-08-20(四),051220212229,14,347031342,6,8578055,183,146641,1179,3000,1058784536,http://www.cwl.gov.cn//c/2020-08-20/472866.shtml
2020078,2020-08-18(二),031114162132,04,339766446,1,10000000,76,347407,885,3000,1029746619,http://www.cwl.gov.cn//c/2020-08-18/472756.shtml
2020077,2020-08-16(日),031016212527,12,376430570,27,5841121,326,87079,1359,3000,960537693,http://www.cwl.gov.cn//c/2020-08-16/472646.shtml
2020076,2020-08-13(四),101516182027,06,346015916,8,6895903,82,231207,1378,3000,1033084399,http://www.cwl.gov.cn//c/2020-08-13/472633.shtml
2020075,2020-08-11(二),031113202430,16,342593198,1,10000000,143,155685,1703,3000,1031374526,http://www.cwl.gov.cn//c/2020-08-11/472523.shtml
2020074,2020-08-09(日),040809131933,12,375478220,5,8629293,107,211991,1690,3000,974585503,http://www.cwl.gov.cn//c/2020-08-09/472413.shtml
2020073,2020-08-06(四),050711132729,03,344984126,8,7005129,129,155436,1913,3000,949682723,http://www.cwl.gov.cn//c/2020-08-06/472299.shtml
2020072,2020-08-04(二),060810151726,04,335806408,7,7525472,104,212479,1837,3000,945569865,http://www.cwl.gov.cn//c/2020-08-04/472190.shtml
2020071,2020-08-02(日),091112132223,08,363190440,12,6156653,133,130449,2094,3000,931954524,http://www.cwl.gov.cn//c/2020-08-02/472080.shtml
2020070,2020-07-30(四),010204061921,15,343442594,23,5829067,100,238356,951,3000,953784945,http://www.cwl.gov.cn//c/2020-07-30/472067.shtml
2020069,2020-07-28(二),030910131826,04,343151528,7,7827856,99,249936,1278,3000,1016346427,http://www.cwl.gov.cn//c/2020-07-28/471957.shtml
2020068,2020-07-26(日),121621262732,10,376630286,17,5430373,128,71448,3605,3000,996910195,http://www.cwl.gov.cn//c/2020-07-26/471847.shtml
2020067,2020-07-23(四),040709232730,08,353153516,10,6979941,140,176780,1518,3000,1061790227,http://www.cwl.gov.cn//c/2020-07-23/471834.shtml
2020066,2020-07-21(二),020913172628,07,352149702,15,6006277,137,137720,2116,3000,1057341835,http://www.cwl.gov.cn//c/2020-07-21/471724.shtml
2020065,2020-07-19(日),091518212326,08,381062334,5,8838315,89,269544,1454,3000,1090832907,http://www.cwl.gov.cn//c/2020-07-19/471614.shtml
2020064,2020-07-16(四),010307212732,01,356057386,1,10000000,77,351356,919,3000,1063056063,http://www.cwl.gov.cn//c/2020-07-16/471201.shtml
2020063,2020-07-14(二),121516222932,14,357076054,3,10000000,103,289264,769,3000,991892696,http://www.cwl.gov.cn//c/2020-07-14/471091.shtml
2020062,2020-07-12(日),101417222627,05,391827962,5,8901954,94,259438,1220,3000,932509919,http://www.cwl.gov.cn//c/2020-07-12/470881.shtml
2020061,2020-07-09(四),081724262731,04,366447904,1,10000000,91,281269,1118,3000,903858043,http://www.cwl.gov.cn//c/2020-07-09/470868.shtml
2020060,2020-07-07(二),050914202430,08,356937202,38,5238209,554,20424,4357,3000,837071557,http://www.cwl.gov.cn//c/2020-07-07/470758.shtml
2020059,2020-07-05(日),020410172225,14,386807160,4,10000000,190,147308,1485,3000,1002178704,http://www.cwl.gov.cn//c/2020-07-05/470648.shtml
2020058,2020-07-02(四),010311121926,07,356052050,18,5569985,136,94299,2821,3000,958212978,http://www.cwl.gov.cn//c/2020-07-02/470535.shtml
2020057,2020-06-30(二),091421232632,03,349147892,3,10000000,113,193145,1334,3000,1019998705,http://www.cwl.gov.cn//c/2020-06-30/470425.shtml
2020056,2020-06-28(日),020508122631,14,380233782,17,6280167,186,146255,1223,3000,984522456,http://www.cwl.gov.cn//c/2020-06-28/470315.shtml
2020055,2020-06-25(四),010507232830,12,327140694,14,5761052,198,67264,2860,3000,1009674637,http://www.cwl.gov.cn//c/2020-06-25/470302.shtml
2020054,2020-06-23(二),031019252631,02,338817016,11,6596678,210,104544,1818,3000,1050374135,http://www.cwl.gov.cn//c/2020-06-23/470192.shtml
2020053,2020-06-21(日),021415163233,01,381666534,19,6277278,360,84264,1404,3000,1057074616,http://www.cwl.gov.cn//c/2020-06-21/470082.shtml
2020052,2020-06-18(四),020813293233,15,352815504,2,10000000,53,568303,707,3000,1085336824,http://www.cwl.gov.cn//c/2020-06-18/469969.shtml
2020051,2020-06-16(二),030608111928,08,342968302,23,5442583,268,47478,3689,3000,1014976572,http://www.cwl.gov.cn//c/2020-06-16/469859.shtml
2020050,2020-06-14(日),040917203233,15,379409292,5,9664099,90,323895,1305,3000,1101983169,http://www.cwl.gov.cn//c/2020-06-14/469749.shtml
2020049,2020-06-11(四),010709121822,04,355402476,7,7652110,140,165756,1720,3000,1062851807,http://www.cwl.gov.cn//c/2020-06-11/469636.shtml
2020048,2020-06-09(二),121418233032,02,351604616,6,8364818,75,336481,1020,3000,1046798674,http://www.cwl.gov.cn//c/2020-06-09/469526.shtml
2020047,2020-06-07(日),041017192832,01,382084220,10,7200661,140,196487,1326,3000,1021279165,http://www.cwl.gov.cn//c/2020-06-07/469316.shtml
2020046,2020-06-04(四),131925262732,08,350122868,7,6855509,87,186617,1674,3000,1010760962,http://www.cwl.gov.cn//c/2020-06-04/469303.shtml
2020045,2020-06-02(二),020315212233,16,348295556,16,6075531,115,187048,1443,3000,1010042406,http://www.cwl.gov.cn//c/2020-06-02/469193.shtml
2020044,2020-05-31(日),070816171924,07,379328476,10,6803090,107,210641,1863,3000,1042719025,http://www.cwl.gov.cn//c/2020-05-31/469083.shtml
2020043,2020-05-28(四),011124252730,07,360394276,5,7928059,64,285943,1287,3000,1043134035,http://www.cwl.gov.cn//c/2020-05-28/468870.shtml
2020042,2020-05-26(二),020607111431,03,345472844,5,8415115,98,217800,1302,3000,1027873219,http://www.cwl.gov.cn//c/2020-05-26/468760.shtml
2020041,2020-05-24(日),060716222425,13,372422582,2,10000000,102,255217,1347,3000,1005915378,http://www.cwl.gov.cn//c/2020-05-24/468650.shtml
2020040,2020-05-21(四),010612161921,04,341533118,5,8416563,92,232103,1462,3000,947818891,http://www.cwl.gov.cn//c/2020-05-21/468637.shtml
2020039,2020-05-19(二),020910111629,02,341609556,9,6952125,166,132297,1872,3000,925841149,http://www.cwl.gov.cn//c/2020-05-19/468527.shtml
2020038,2020-05-17(日),010607182324,15,374760420,15,6276646,317,75511,2605,3000,922526038,http://www.cwl.gov.cn//c/2020-05-17/468317.shtml
2020037,2020-05-14(四),010411131724,15,350126486,6,6810277,65,208878,1804,3000,944864355,http://www.cwl.gov.cn//c/2020-05-14/468204.shtml
2020036,2020-05-12(二),070916222432,06,346455736,3,10000000,104,204187,1512,3000,944994783,http://www.cwl.gov.cn//c/2020-05-12/467794.shtml
2020035,2020-05-10(日),101424252833,11,371811232,4,9777104,97,246242,1144,3000,911288358,http://www.cwl.gov.cn//c/2020-05-10/467584.shtml
2020034,2020-05-07(四),020815162632,03,340793680,11,6780706,182,134531,1906,3000,878740204,http://www.cwl.gov.cn//c/2020-05-07/467571.shtml
2020033,2020-05-05(二),071012213132,01,320555362,4,10000000,97,263480,753,3000,879873846,http://www.cwl.gov.cn//c/2020-05-05/467461.shtml
2020032,2020-05-03(日),031113141526,13,338904002,11,6588951,135,161837,1606,3000,843200936,http://www.cwl.gov.cn//c/2020-05-03/467451.shtml
2020031,2020-04-30(四),020509151627,09,323903392,14,5603722,310,34081,3568,3000,850135149,http://www.cwl.gov.cn//c/2020-04-30/467338.shtml
2020030,2020-04-28(二),171821293032,03,327786632,1,10000000,74,322591,894,3000,896891829,http://www.cwl.gov.cn//c/2020-04-28/467228.shtml
2020029,2020-04-26(日),011218203032,05,364268814,7,7432574,63,337857,983,3000,835276431,http://www.cwl.gov.cn//c/2020-04-26/467218.shtml
2020028,2020-04-23(四),050615182632,08,323795596,7,7465464,153,140998,1247,3000,823449380,http://www.cwl.gov.cn//c/2020-04-23/467005.shtml
2020027,2020-04-21(二),121314242528,06,324196702,3,10000000,112,211713,925,3000,810989197,http://www.cwl.gov.cn//c/2020-04-21/466995.shtml
2020026,2020-04-19(日),010409181931,06,349633986,3,10000000,106,181297,1637,3000,769853394,http://www.cwl.gov.cn//c/2020-04-19/466885.shtml
2020025,2020-04-16(四),010910152029,02,321611812,4,9977229,156,159526,1019,3000,742200788,http://www.cwl.gov.cn//c/2020-04-16/466771.shtml
2020024,2020-04-14(二),101327282931,08,317568426,8,7028971,94,215848,1242,3000,707451262,http://www.cwl.gov.cn//c/2020-04-14/466662.shtml
2020023,2020-04-12(日),040520213033,08,340318270,6,7277843,107,159661,1196,3000,702813893,http://www.cwl.gov.cn//c/2020-04-12/466652.shtml
2020022,2020-04-09(四),021020222530,02,311416184,8,6761570,97,181605,2094,3000,695229480,http://www.cwl.gov.cn//c/2020-04-09/466539.shtml
2020021,2020-04-07(二),020614162731,07,296655800,5,7581452,116,139086,1546,3000,696474938,http://www.cwl.gov.cn//c/2020-04-07/466429.shtml